UID,Chemical,Time,Temperature,Na,Cu,O,Fe,Mn,Ni,P2O3ratio,Cat_Success
U00108,Na0.75MnO2,3,950,0.75,0.0,2.0,0.0,1.0,0.0,0.85,Successful
U00109,Na0.75NiO2,3,950,0.75,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00110,Na0.75Cu0.5Fe0.5O2,3,950,0.75,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00111,Na0.75Cu0.5Mn0.5O2,3,950,0.75,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00112,Na0.75Cu0.5Ni0.5O2,3,950,0.75,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00113,Na0.75Fe0.5Mn0.5O2,3,950,0.75,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00114,Na0.75Fe0.5Ni0.5O2,3,950,0.75,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00115,Na0.75Mn0.5Ni0.5O2,3,950,0.75,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00116,Na0.75Cu1/3Fe1/3Mn1/3O2,3,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0.8,Successful
U00117,Na0.75Cu1/3Fe1/3Ni1/3O2,3,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00118,Na0.75Cu1/3Mn1/3Ni1/3O2,3,950,0.75,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00119,Na0.75Fe1/3Mn1/3Ni1/3O2,3,950,0.75,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,Successful
U00120,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,3,950,0.75,0.25,2.0,0.25,0.25,0.25,-1.0,Unsuccessful
U00121,Na0.5CuO2,3,950,0.5,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00122,Na0.5FeO2,3,950,0.5,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00123,Na0.5MnO2,3,950,0.5,0.0,2.0,0.0,1.0,0.0,-1.0,Unsuccessful
U00124,Na0.5NiO2,3,950,0.5,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00125,Na0.5Cu0.5Fe0.5O2,3,950,0.5,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00126,Na0.5Cu0.5Mn0.5O2,3,950,0.5,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00127,Na0.5Cu0.5Ni0.5O2,3,950,0.5,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
